Team,Year,Conference,Subdivision
Indiana,1891, Indiana Intercollegiate Athletic Association,No Classification
Iowa,1891, Independent,No Classification
Kansas,1891, Kansas Collegiate Athletic Conference (1890-1927),No Classification
Kentucky,1891, Independent,No Classification
Massachusetts,1891, Independent,No Classification
Miami (OH),1891, Independent,No Classification
Michigan,1891, Independent,No Classification
Minnesota,1891, Independent,No Classification
Missouri,1891, Independent,No Classification
Navy (MD),1891, Independent,No Classification
Nebraska,1891, Independent,No Classification
North Carolina,1891, Independent,No Classification
Northwestern (IL),1891, Independent,No Classification
Notre Dame (IN),1891, Independent,No Classification
Ohio St.,1891, Independent,No Classification
Penn St.,1891, Independent,No Classification
Pittsburgh (PA),1891, Independent,No Classification
Purdue (IN),1891, Indiana Intercollegiate Athletic Association,No Classification
Rutgers (NJ),1891, Independent,No Classification
Southern California,1891, Independent,No Classification
Stanford (CA),1891, Independent,No Classification
Syracuse (NY),1891, Independent,No Classification
Tennessee,1891, Independent,No Classification
Vanderbilt (TN),1891, Independent,No Classification
Virginia,1891, Independent,No Classification
Wake Forest (NC),1891, Independent,No Classification
Washington,1891, Independent,No Classification
West Virginia,1891, Independent,No Classification
Wisconsin,1891, Independent,No Classification
Akron (OH),1892, Independent,No Classification
Alabama,1892, Independent,No Classification
Army (NY),1892, Independent,No Classification
Auburn (AL),1892, Independent,No Classification
California,1892, Independent,No Classification
Cincinnati (OH),1892, Independent,No Classification
Colorado,1892, Independent,No Classification
Colorado St.,1892, Independent,No Classification
Duke (NC),1892, Independent,No Classification
Eastern Michigan,1892, Independent,No Classification
Georgia,1892, Independent,No Classification
Georgia Tech,1892, Independent,No Classification
Illinois,1892, Illinois Intercollegiate Football League,No Classification
Indiana,1892, Indiana Intercollegiate Athletic Association,No Classification
Iowa,1892, Western Interstate University Football Association,No Classification
Iowa St.,1892, Independent,No Classification
Kansas,1892, Western Interstate University Football Association,No Classification
Kentucky,1892, Independent,No Classification
Maryland,1892, Independent,No Classification
Massachusetts,1892, Independent,No Classification
Miami (OH),1892, Independent,No Classification
Michigan,1892, Independent,No Classification
Minnesota,1892, Independent,No Classification
Missouri,1892, Western Interstate University Football Association,No Classification
Navy (MD),1892, Independent,No Classification
Nebraska,1892, Western Interstate University Football Association,No Classification
New Mexico,1892, Independent,No Classification
North Carolina,1892, Independent,No Classification
North Carolina St.,1892, Independent,No Classification
Northwestern (IL),1892, Independent,No Classification
Notre Dame (IN),1892, Independent,No Classification
Ohio St.,1892, Independent,No Classification
Penn St.,1892, Independent,No Classification
Pittsburgh (PA),1892, Independent,No Classification
Purdue (IN),1892, Indiana Intercollegiate Athletic Association,No Classification
Rutgers (NJ),1892, Independent,No Classification
South Carolina,1892, Independent,No Classification
Southern California,1892, Independent,No Classification
Stanford (CA),1892, Independent,No Classification
Syracuse (NY),1892, Independent,No Classification
Tennessee,1892, Independent,No Classification
Utah,1892, Independent,No Classification
Utah St.,1892, Independent,No Classification
Vanderbilt (TN),1892, Independent,No Classification
Virginia,1892, Independent,No Classification
Virginia Tech,1892, Independent,No Classification
Wake Forest (NC),1892, Independent,No Classification
Washington,1892, Independent,No Classification
West Virginia,1892, Independent,No Classification
Wisconsin,1892, Independent,No Classification
Akron (OH),1893, Independent,No Classification
Alabama,1893, Independent,No Classification
Army (NY),1893, Independent,No Classification
Auburn (AL),1893, Independent,No Classification
Boston College (MA),1893, Independent,No Classification
California,1893, Independent,No Classification
Cincinnati (OH),1893, Independent,No Classification
Colorado,1893, Colorado Football Association,No Classification
Colorado St.,1893, Colorado Football Association,No Classification
Duke (NC),1893, Independent,No Classification
Eastern Michigan,1893, Independent,No Classification
Georgia,1893, Independent,No Classification
Georgia Tech,1893, Independent,No Classification
Idaho,1893, Independent,No Classification
Illinois,1893, Illinois Intercollegiate Football League,No Classification
Indiana,1893, Indiana Intercollegiate Athletic Association,No Classification
Iowa,1893, Western Interstate University Football Association,No Classification
Iowa St.,1893, Independent,No Classification
Kansas,1893, Western Interstate University Football Association,No Classification
Kentucky,1893, Independent,No Classification
Louisiana St.,1893, Independent,No Classification
Maryland,1893, Independent,No Classification
Massachusetts,1893, Independent,No Classification
Miami (OH),1893, Independent,No Classification
Michigan,1893, Independent,No Classification
Minnesota,1893, Independent,No Classification
Mississippi,1893, Independent,No Classification
Missouri,1893, Western Interstate University Football Association,No Classification
Navy (MD),1893, Independent,No Classification
Nebraska,1893, Western Interstate University Football Association,No Classification
New Mexico,1893, Independent,No Classification
New Mexico St.,1893, Independent,No Classification
North Carolina,1893, Independent,No Classification
North Carolina St.,1893, Independent,No Classification
Northwestern (IL),1893, Independent,No Classification
Notre Dame (IN),1893, Independent,No Classification
Ohio St.,1893, Independent,No Classification
Oregon St.,1893, Independent,No Classification
Penn St.,1893, Independent,No Classification
Pittsburgh (PA),1893, Independent,No Classification
Purdue (IN),1893, Indiana Intercollegiate Athletic Association,No Classification
Rutgers (NJ),1893, Middle States Intercollegiate Football League,No Classification
San Jose St. (CA),1893, Independent,No Classification
South Carolina,1893, Independent,No Classification
Southern California,1893, Independent,No Classification
Stanford (CA),1893, Independent,No Classification
Syracuse (NY),1893, Independent,No Classification
Tennessee,1893, Independent,No Classification
Texas,1893, Independent,No Classification
Tulane (LA),1893, Independent,No Classification
Utah,1893, Independent,No Classification
Utah St.,1893, Independent,No Classification
Vanderbilt (TN),1893, Independent,No Classification
Virginia,1893, Independent,No Classification
Virginia Tech,1893, Independent,No Classification
Wake Forest (NC),1893, Independent,No Classification
Washington,1893, Independent,No Classification
West Virginia,1893, Independent,No Classification
Wisconsin,1893, Independent,No Classification
Wyoming,1893, Independent,No Classification
Akron (OH),1894, Independent,No Classification
Alabama,1894, Independent,No Classification
Arkansas,1894, Independent,No Classification
Army (NY),1894, Independent,No Classification
Auburn (AL),1894, Independent,No Classification
Boston College (MA),1894, Independent,No Classification
Buffalo (NY),1894, Independent,No Classification
California,1894, Independent,No Classification
Cincinnati (OH),1894, Independent,No Classification
Colorado,1894, Colorado Football Association,No Classification
Colorado St.,1894, Colorado Football Association,No Classification
Duke (NC),1894, Independent,No Classification
Eastern Michigan,1894, Michigan Intercollegiate Athletic Association,No Classification
Georgia,1894, Independent,No Classification
Georgia Tech,1894, Independent,No Classification
Idaho,1894, Independent,No Classification
Illinois,1894, Illinois Intercollegiate Football League,No Classification
Indiana,1894, Indiana Intercollegiate Athletic Association,No Classification
Iowa,1894, Western Interstate University Football Association,No Classification
Iowa St.,1894, Independent,No Classification
Kansas,1894, Western Interstate University Football Association,No Classification
Kentucky,1894, Independent,No Classification
Louisiana St.,1894, Independent,No Classification
Maryland,1894, Maryland Intercollegiate Football Association,No Classification
Massachusetts,1894, Independent,No Classification
Miami (OH),1894, Independent,No Classification
Michigan,1894, Independent,No Classification
Minnesota,1894, Independent,No Classification
Mississippi,1894, Independent,No Classification
Missouri,1894, Western Interstate University Football Association,No Classification
Navy (MD),1894, Independent,No Classification
Nebraska,1894, Western Interstate University Football Association,No Classification
New Mexico,1894, Independent,No Classification
New Mexico St.,1894, Independent,No Classification
North Carolina,1894, Independent,No Classification
North Carolina St.,1894, Independent,No Classification
Northwestern (IL),1894, Independent,No Classification
Notre Dame (IN),1894, Independent,No Classification
Ohio,1894, Independent,No Classification
Ohio St.,1894, Independent,No Classification
Oregon,1894, Independent,No Classification
Oregon St.,1894, Independent,No Classification
Penn St.,1894, Independent,No Classification
Pittsburgh (PA),1894, Independent,No Classification
Purdue (IN),1894, Indiana Intercollegiate Athletic Association,No Classification
Rutgers (NJ),1894, Middle States Intercollegiate Football League,No Classification
San Jose St. (CA),1894, Independent,No Classification
South Carolina,1894, Independent,No Classification
Southern California,1894, Independent,No Classification
Stanford (CA),1894, Independent,No Classification
Syracuse (NY),1894, Independent,No Classification
Temple (PA),1894, Independent,No Classification
Tennessee,1894, Independent,No Classification
Texas,1894, Independent,No Classification
Texas A&M,1894, Independent,No Classification
Tulane (LA),1894, Independent,No Classification
Utah,1894, Independent,No Classification
Utah St.,1894, Independent,No Classification
Vanderbilt (TN),1894, Independent,No Classification
Virginia,1894, Independent,No Classification
Virginia Tech,1894, Independent,No Classification
Wake Forest (NC),1894, Independent,No Classification
Washington,1894, Independent,No Classification
Washington St.,1894, Independent,No Classification
West Virginia,1894, Independent,No Classification
Wisconsin,1894, Independent,No Classification
Wyoming,1894, Independent,No Classification
Akron (OH),1895, Independent,No Classification
Alabama,1895, Southern Intercollegiate Athletic Association,No Classification
Arkansas,1895, Independent,No Classification
Army (NY),1895, Independent,No Classification
Auburn (AL),1895, Southern Intercollegiate Athletic Association,No Classification
Boston College (MA),1895, Independent,No Classification
Buffalo (NY),1895, Independent,No Classification
California,1895, Independent,No Classification
Cincinnati (OH),1895, Independent,No Classification
Colorado,1895, Colorado Football Association,No Classification
Colorado St.,1895, Colorado Football Association,No Classification
Duke (NC),1895, Independent,No Classification
Eastern Michigan,1895, Michigan Intercollegiate Athletic Association,No Classification
Georgia,1895, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1895, Southern Intercollegiate Athletic Association,No Classification
Idaho,1895, Independent,No Classification
Illinois,1895, Illinois Intercollegiate Football League,No Classification
Indiana,1895, Indiana Intercollegiate Athletic Association,No Classification
Iowa,1895, Western Interstate University Football Association,No Classification
Iowa St.,1895, Independent,No Classification
Kansas,1895, Western Interstate University Football Association,No Classification
Kentucky,1895, Independent,No Classification
Louisiana St.,1895, Independent,No Classification
Marshall (WV),1895, Independent,No Classification
Maryland,1895, Maryland Intercollegiate Football Association,No Classification
Massachusetts,1895, Independent,No Classification
Miami (OH),1895, Independent,No Classification
Michigan,1895, Independent,No Classification
Minnesota,1895, Independent,No Classification
Mississippi,1895, Independent,No Classification
Mississippi St.,1895, Independent,No Classification
Missouri,1895, Western Interstate University Football Association,No Classification
Navy (MD),1895, Independent,No Classification
Nebraska,1895, Western Interstate University Football Association,No Classification
New Mexico,1895, Independent,No Classification
New Mexico St.,1895, Independent,No Classification
North Carolina,1895, Southern Intercollegiate Athletic Association,No Classification
North Carolina St.,1895, Independent,No Classification
Northwestern (IL),1895, Independent,No Classification
Notre Dame (IN),1895, Independent,No Classification
Ohio,1895, Independent,No Classification
Ohio St.,1895, Independent,No Classification
Oklahoma,1895, Independent,No Classification
Oregon,1895, Independent,No Classification
Oregon St.,1895, Independent,No Classification
Penn St.,1895, Independent,No Classification
Pittsburgh (PA),1895, Independent,No Classification
Purdue (IN),1895, Indiana Intercollegiate Athletic Association,No Classification
Rutgers (NJ),1895, Independent,No Classification
San Jose St. (CA),1895, Independent,No Classification
South Carolina,1895, Independent,No Classification
Southern California,1895, Independent,No Classification
Stanford (CA),1895, Independent,No Classification
Syracuse (NY),1895, Independent,No Classification
Temple (PA),1895, Independent,No Classification
Tennessee,1895, Independent,No Classification
Texas,1895, Independent,No Classification
Texas A&M,1895, Independent,No Classification
Tulane (LA),1895, Independent,No Classification
Tulsa (OK),1895, Independent,No Classification
Utah,1895, Independent,No Classification
Utah St.,1895, Independent,No Classification
Vanderbilt (TN),1895, Southern Intercollegiate Athletic Association,No Classification
Virginia,1895, Independent,No Classification
Virginia Tech,1895, Independent,No Classification
Wake Forest (NC),1895, Independent,No Classification
Washington,1895, Independent,No Classification
Washington St.,1895, Independent,No Classification
West Virginia,1895, Independent,No Classification
Wisconsin,1895, Independent,No Classification
Wyoming,1895, Independent,No Classification
Akron (OH),1896, Independent,No Classification
Alabama,1896, Southern Intercollegiate Athletic Association,No Classification
Arkansas,1896, Independent,No Classification
Army (NY),1896, Independent,No Classification
Auburn (AL),1896, Southern Intercollegiate Athletic Association,No Classification
Boston College (MA),1896, Independent,No Classification
Buffalo (NY),1896, Independent,No Classification
California,1896, Independent,No Classification
Central Michigan,1896, Independent,No Classification
Cincinnati (OH),1896, Independent,No Classification
Clemson (SC),1896, Southern Intercollegiate Athletic Association,No Classification
Colorado,1896, Colorado Football Association,No Classification
Colorado St.,1896, Colorado Football Association,No Classification
Connecticut,1896, Independent,No Classification
Duke (NC),1896, Independent,No Classification
Eastern Michigan,1896, Michigan Intercollegiate Athletic Association,No Classification
Georgia,1896, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1896, Southern Intercollegiate Athletic Association,No Classification
Idaho,1896, Independent,No Classification
Illinois,1896, Big Ten Conference,No Classification
Indiana,1896, Independent,No Classification
Iowa,1896, Western Interstate University Football Association,No Classification
Iowa St.,1896, Independent,No Classification
Kansas,1896, Western Interstate University Football Association,No Classification
Kansas St.,1896, Independent,No Classification
Kentucky,1896, Southern Intercollegiate Athletic Association,No Classification
Louisiana St.,1896, Southern Intercollegiate Athletic Association,No Classification
Marshall (WV),1896, Independent,No Classification
Maryland,1896, Maryland Intercollegiate Football Association,No Classification
Massachusetts,1896, Independent,No Classification
Miami (OH),1896, Independent,No Classification
Michigan,1896, Big Ten Conference,No Classification
Michigan St.,1896, Michigan Intercollegiate Athletic Association,No Classification
Minnesota,1896, Big Ten Conference,No Classification
Mississippi,1896, Southern Intercollegiate Athletic Association,No Classification
Mississippi St.,1896, Southern Intercollegiate Athletic Association,No Classification
Missouri,1896, Western Interstate University Football Association,No Classification
Navy (MD),1896, Independent,No Classification
Nebraska,1896, Western Interstate University Football Association,No Classification
Nevada,1896, Independent,No Classification
New Mexico,1896, Independent,No Classification
New Mexico St.,1896, Independent,No Classification
North Carolina,1896, Southern Intercollegiate Athletic Association,No Classification
North Carolina St.,1896, Independent,No Classification
Northwestern (IL),1896, Big Ten Conference,No Classification
Notre Dame (IN),1896, Independent,No Classification
Ohio,1896, Independent,No Classification
Ohio St.,1896, Independent,No Classification
Oklahoma,1896, Independent,No Classification
Oregon,1896, Independent,No Classification
Oregon St.,1896, Independent,No Classification
Penn St.,1896, Independent,No Classification
Pittsburgh (PA),1896, Independent,No Classification
Purdue (IN),1896, Big Ten Conference,No Classification
Rutgers (NJ),1896, Independent,No Classification
San Jose St. (CA),1896, Independent,No Classification
South Carolina,1896, Independent,No Classification
Southern California,1896, Independent,No Classification
Stanford (CA),1896, Independent,No Classification
Syracuse (NY),1896, Independent,No Classification
Temple (PA),1896, Independent,No Classification
Tennessee,1896, Southern Intercollegiate Athletic Association,No Classification
Texas,1896, Southern Intercollegiate Athletic Association,No Classification
Texas A&M,1896, Independent,No Classification
Texas Christian,1896, Independent,No Classification
Tulane (LA),1896, Southern Intercollegiate Athletic Association,No Classification
Tulsa (OK),1896, Independent,No Classification
Utah,1896, Independent,No Classification
Utah St.,1896, Independent,No Classification
Vanderbilt (TN),1896, Southern Intercollegiate Athletic Association,No Classification
Virginia,1896, Independent,No Classification
Virginia Tech,1896, Independent,No Classification
Wake Forest (NC),1896, Independent,No Classification
Washington,1896, Independent,No Classification
Washington St.,1896, Independent,No Classification
West Virginia,1896, Independent,No Classification
Wisconsin,1896, Big Ten Conference,No Classification
Wyoming,1896, Independent,No Classification
Akron (OH),1897, Independent,No Classification
Alabama,1897, Southern Intercollegiate Athletic Association,No Classification
Arizona St.,1897, Independent,No Classification
Arkansas,1897, Independent,No Classification
Army (NY),1897, Independent,No Classification
Auburn (AL),1897, Southern Intercollegiate Athletic Association,No Classification
Boston College (MA),1897, Independent,No Classification
Buffalo (NY),1897, Independent,No Classification
California,1897, Independent,No Classification
Central Michigan,1897, Independent,No Classification
Cincinnati (OH),1897, Independent,No Classification
Clemson (SC),1897, Southern Intercollegiate Athletic Association,No Classification
Colorado,1897, Colorado Football Association,No Classification
Colorado St.,1897, Colorado Football Association,No Classification
Connecticut,1897, Independent,No Classification
Duke (NC),1897, Independent,No Classification
Eastern Michigan,1897, Michigan Intercollegiate Athletic Association,No Classification
Georgia,1897, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1897, Southern Intercollegiate Athletic Association,No Classification
Idaho,1897, Independent,No Classification
Illinois,1897, Big Ten Conference,No Classification
Indiana,1897, Independent,No Classification
Iowa,1897, Western Interstate University Football Association,No Classification
Iowa St.,1897, Independent,No Classification
Kansas,1897, Western Interstate University Football Association,No Classification
Kansas St.,1897, Independent,No Classification
Kentucky,1897, Southern Intercollegiate Athletic Association,No Classification
Louisiana St.,1897, Southern Intercollegiate Athletic Association,No Classification
Marshall (WV),1897, Independent,No Classification
Maryland,1897, Maryland Intercollegiate Football Association,No Classification
Massachusetts,1897, Independent,No Classification
Miami (OH),1897, Independent,No Classification
Michigan,1897, Big Ten Conference,No Classification
Michigan St.,1897, Michigan Intercollegiate Athletic Association,No Classification
Minnesota,1897, Big Ten Conference,No Classification
Mississippi,1897, Southern Intercollegiate Athletic Association,No Classification
Mississippi St.,1897, Southern Intercollegiate Athletic Association,No Classification
Missouri,1897, Western Interstate University Football Association,No Classification
Navy (MD),1897, Independent,No Classification
Nebraska,1897, Western Interstate University Football Association,No Classification
Nevada,1897, Independent,No Classification
New Mexico,1897, Independent,No Classification
New Mexico St.,1897, Independent,No Classification
North Carolina,1897, Southern Intercollegiate Athletic Association,No Classification
North Carolina St.,1897, Independent,No Classification
Northwestern (IL),1897, Big Ten Conference,No Classification
Notre Dame (IN),1897, Independent,No Classification
Ohio,1897, Independent,No Classification
Ohio St.,1897, Independent,No Classification
Oklahoma,1897, Independent,No Classification
Oregon,1897, Independent,No Classification
Oregon St.,1897, Independent,No Classification
Penn St.,1897, Independent,No Classification
Pittsburgh (PA),1897, Independent,No Classification
Purdue (IN),1897, Big Ten Conference,No Classification
Rutgers (NJ),1897, Independent,No Classification
San Jose St. (CA),1897, Independent,No Classification
South Carolina,1897, Independent,No Classification
Southern California,1897, Independent,No Classification
Stanford (CA),1897, Independent,No Classification
Syracuse (NY),1897, Independent,No Classification
Temple (PA),1897, Independent,No Classification
Tennessee,1897, Southern Intercollegiate Athletic Association,No Classification
Texas,1897, Southern Intercollegiate Athletic Association,No Classification
Texas A&M,1897, Independent,No Classification
Texas Christian,1897, Independent,No Classification
Tulane (LA),1897, Southern Intercollegiate Athletic Association,No Classification
Tulsa (OK),1897, Independent,No Classification
Utah,1897, Independent,No Classification
Utah St.,1897, Independent,No Classification
Vanderbilt (TN),1897, Southern Intercollegiate Athletic Association,No Classification
Virginia,1897, Independent,No Classification
Virginia Tech,1897, Independent,No Classification
Wake Forest (NC),1897, Independent,No Classification
Washington,1897, Independent,No Classification
Washington St.,1897, Independent,No Classification
West Virginia,1897, Independent,No Classification
Wisconsin,1897, Big Ten Conference,No Classification
Wyoming,1897, Independent,No Classification
Akron (OH),1898, Independent,No Classification
Alabama,1898, Southern Intercollegiate Athletic Association,No Classification
Arizona St.,1898, Independent,No Classification
Arkansas,1898, Independent,No Classification
Army (NY),1898, Independent,No Classification
Auburn (AL),1898, Southern Intercollegiate Athletic Association,No Classification
Boston College (MA),1898, Independent,No Classification
Buffalo (NY),1898, Independent,No Classification
California,1898, Independent,No Classification
Central Michigan,1898, Independent,No Classification
Cincinnati (OH),1898, Independent,No Classification
Clemson (SC),1898, Southern Intercollegiate Athletic Association,No Classification
Colorado,1898, Colorado Football Association,No Classification
Colorado St.,1898, Colorado Football Association,No Classification
Connecticut,1898, Independent,No Classification
Duke (NC),1898, Independent,No Classification
Eastern Michigan,1898, Michigan Intercollegiate Athletic Association,No Classification
Georgia,1898, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1898, Southern Intercollegiate Athletic Association,No Classification
Idaho,1898, Independent,No Classification
Illinois,1898, Big Ten Conference,No Classification
Indiana,1898, Independent,No Classification
Iowa,1898, Independent,No Classification
Iowa St.,1898, Independent,No Classification
Kansas,1898, Independent,No Classification
Kansas St.,1898, Independent,No Classification
Kentucky,1898, Southern Intercollegiate Athletic Association,No Classification
Louisiana St.,1898, Southern Intercollegiate Athletic Association,No Classification
Marshall (WV),1898, Independent,No Classification
Maryland,1898, Independent,No Classification
Massachusetts,1898, Independent,No Classification
Miami (OH),1898, Independent,No Classification
Michigan,1898, Big Ten Conference,No Classification
Michigan St.,1898, Michigan Intercollegiate Athletic Association,No Classification
Minnesota,1898, Big Ten Conference,No Classification
Mississippi,1898, Southern Intercollegiate Athletic Association,No Classification
Mississippi St.,1898, Southern Intercollegiate Athletic Association,No Classification
Missouri,1898, Independent,No Classification
Navy (MD),1898, Independent,No Classification
Nebraska,1898, Independent,No Classification
Nevada,1898, Independent,No Classification
New Mexico,1898, Independent,No Classification
New Mexico St.,1898, Independent,No Classification
North Carolina,1898, Southern Intercollegiate Athletic Association,No Classification
North Carolina St.,1898, Southern Intercollegiate Athletic Association,No Classification
Northwestern (IL),1898, Big Ten Conference,No Classification
Notre Dame (IN),1898, Independent,No Classification
Ohio,1898, Independent,No Classification
Ohio St.,1898, Independent,No Classification
Oklahoma,1898, Independent,No Classification
Oregon,1898, Independent,No Classification
Oregon St.,1898, Independent,No Classification
Penn St.,1898, Independent,No Classification
Pittsburgh (PA),1898, Independent,No Classification
Purdue (IN),1898, Big Ten Conference,No Classification
Rutgers (NJ),1898, Independent,No Classification
San Jose St. (CA),1898, Independent,No Classification
South Carolina,1898, Independent,No Classification
Southern California,1898, Independent,No Classification
Stanford (CA),1898, Independent,No Classification
Syracuse (NY),1898, Independent,No Classification
Temple (PA),1898, Independent,No Classification
Tennessee,1898, Southern Intercollegiate Athletic Association,No Classification
Texas,1898, Southern Intercollegiate Athletic Association,No Classification
Texas A&M,1898, Independent,No Classification
Texas Christian,1898, Independent,No Classification
Tulane (LA),1898, Southern Intercollegiate Athletic Association,No Classification
